ID_PER,AP4_3_1,AP4_3_2,AP4_3_3,AP4_8_1,AP4_8_2,AP4_8_3,AP4_8_4,AP4_8_5,AP4_8_6
0100013.01.01.01,1,1,1,2,1,2,2,1,2
0100013.02.01.02,1,2,2,1,1,1,2,1,2
0100013.03.01.01,2,2,2,1,1,1,1,1,1
0100013.04.01.02,1,2,2,2,1,2,2,2,2
0100013.05.01.03,1,1,1,1,1,1,2,1,9
0100017.01.01.01,1,1,1,2,2,2,2,2,2
0100017.02.01.01,1,1,1,2,2,1,2,1,2
0100017.03.01.02,1,1,1,1,1,1,2,1,2
0100017.05.01.02,1,1,1,2,1,1,2,1,2
0100026.02.01.01,2,1,1,1,2,1,2,1,9
0100026.04.01.01,1,1,1,1,2,1,2,2,9
0100026.05.01.01,1,2,2,2,1,9,2,2,9
0100027.01.01.01,2,2,2,2,2,2,2,1,1
0100027.02.01.02,1,1,1,2,2,2,2,1,2
0100027.03.01.04,1,1,1,2,1,1,1,1,2
0100027.04.01.01,1,2,2,2,2,2,2,1,2
0100027.05.01.01,2,2,2,1,1,1,2,1,2
0100029.01.01.03,2,1,1,2,2,2,2,1,2
0100029.02.01.01,2,2,2,1,1,2,2,1,2
0100029.04.01.01,1,2,2,2,2,2,2,1,9
0100029.05.01.02,1,2,2,2,2,2,2,2,9
0100041.02.01.01,1,2,2,2,2,2,2,2,9
0100041.03.01.06,1,1,1,1,2,1,2,1,2
0100041.04.01.01,1,1,2,2,1,1,1,1,1
0100041.05.01.02,1,1,1,2,2,2,2,1,1
0100045.01.01.02,1,2,2,1,1,1,1,1,2
0100045.02.01.02,1,2,2,2,1,2,1,2,9
0100045.03.01.01,1,2,2,2,1,2,2,2,2
0100045.04.01.06,1,2,1,2,1,1,2,2,2
0100045.05.01.01,1,1,1,1,2,1,2,2,2
0100054.01.01.01,1,2,2,2,2,1,2,2,2
0100054.02.01.03,2,2,2,1,2,2,2,1,3
0100054.03.01.01,9,1,1,2,1,2,2,1,9
0100054.05.01.01,2,2,2,2,1,2,1,1,1
0100058.01.01.01,2,2,2,1,1,2,1,1,1
0100058.02.01.04,2,1,1,2,2,2,1,1,9
0100058.03.01.02,2,2,2,1,2,2,1,1,1
0100058.04.01.06,2,2,2,1,1,2,1,1,1
0100058.05.01.01,2,2,1,2,2,1,1,1,1
0100061.01.01.01,1,1,1,2,2,2,2,1,2
0100061.02.01.03,1,1,1,1,1,2,2,2,2
0100061.03.01.16,1,1,1,2,2,1,2,2,2
0100061.04.01.01,1,1,1,1,2,2,1,1,1
0100061.05.01.01,1,1,1,1,2,2,2,2,9
0100065.01.01.01,2,1,1,1,1,1,1,1,9
0100065.02.01.01,1,1,2,1,2,2,2,2,2
0100065.03.01.01,1,1,2,2,2,1,2,2,2
0100065.04.01.02,1,1,1,1,2,2,2,2,2
0100065.05.01.01,2,2,1,1,2,2,1,1,9
0100067.01.01.01,1,1,1,2,2,2,2,2,9
0100067.02.01.01,2,2,2,2,2,2,2,1,1
0100067.04.01.02,1,2,2,2,9,1,2,1,1
0100067.05.01.02,1,1,1,1,1,2,2,1,2
0100068.01.01.03,2,1,1,2,1,2,1,2,9
0100068.02.01.02,2,2,2,2,2,2,1,1,1
0100068.04.01.02,1,1,1,1,2,2,2,2,9
0100068.05.01.02,1,1,1,2,2,2,2,2,3
0100073.01.01.01,1,2,2,2,2,1,2,2,2
0100073.02.01.01,2,2,2,2,2,2,2,2,2
0100073.03.01.02,2,2,1,2,2,2,1,1,9
0100073.04.01.01,1,1,1,2,1,2,2,2,2
0100073.05.01.02,1,2,2,2,2,2,2,2,2
0100074.01.01.03,2,1,1,1,1,1,1,1,9
0100074.02.01.02,1,1,1,2,2,2,2,2,2
0100074.03.01.01,1,1,1,2,2,1,1,1,2
0100074.04.01.01,2,2,2,2,2,2,2,1,2
0100074.05.01.01,1,1,1,2,1,2,2,1,2
0100076.01.01.02,2,2,2,2,2,2,1,1,9
0100076.02.01.02,2,2,2,2,1,2,1,2,9
0100076.03.01.02,2,1,1,9,1,9,9,9,9
0100076.04.01.02,1,2,2,1,2,2,2,1,1
0100076.05.01.01,1,2,1,2,2,1,2,2,2
0100080.01.01.01,2,2,2,1,2,2,1,1,9
0100080.02.01.01,1,1,1,1,2,2,2,2,1
0100080.03.01.01,2,2,2,2,2,2,1,1,9
0100080.04.01.01,2,2,2,2,2,2,2,2,9
0100080.05.01.02,2,2,1,2,1,1,1,1,9
0100084.01.01.01,2,2,2,1,1,2,1,1,1
0100084.02.01.01,1,1,1,2,1,2,1,1,2
0100084.03.01.01,2,1,1,2,2,2,2,2,2
0100084.03.02.01,1,1,1,2,2,2,1,1,1
0100084.04.01.04,1,2,2,1,1,1,1,2,1
0100084.05.01.01,2,2,2,1,1,2,2,9,9
0100099.01.01.02,1,2,1,1,1,1,2,1,9
0100099.02.01.02,2,2,2,2,2,2,2,2,9
0100099.03.01.03,1,1,1,1,1,2,2,2,9
0100099.04.01.01,2,1,1,2,1,1,2,1,9
0100099.05.01.01,1,2,2,2,2,2,2,1,9
0100102.01.01.02,2,2,2,2,1,1,2,2,2
0100102.02.01.01,2,1,1,2,2,2,2,1,2
0100102.03.01.02,1,1,2,2,1,2,2,2,9
0100102.04.01.01,1,1,1,2,2,2,2,2,9
0100102.05.01.01,2,2,2,2,1,2,2,1,1
0100121.02.01.01,1,1,1,2,2,2,2,1,9
0100121.03.01.03,1,2,2,1,1,2,2,1,2
0100154.02.01.01,2,2,2,2,2,2,2,2,1
0100154.04.01.01,1,2,2,1,2,2,2,1,2
0100154.05.01.02,1,1,1,2,2,1,2,2,9
0100159.02.01.01,1,1,1,2,2,2,2,1,9
0100159.03.01.01,1,1,1,1,1,2,1,1,9
0100159.04.01.01,1,1,1,1,2,2,2,1,2
0100159.05.01.03,1,1,1,2,2,2,2,1,2
0100175.01.01.03,2,2,2,1,1,2,2,1,9
0100175.02.01.02,1,1,1,2,1,1,2,1,1
0100175.03.01.02,2,1,1,2,1,2,2,1,9
0100175.04.01.01,1,1,1,2,1,2,2,1,2
0100175.05.01.03,1,1,1,2,1,2,2,2,2
0100186.03.01.01,2,2,1,2,2,2,1,2,3
0100186.04.01.01,1,2,2,1,1,1,1,1,1
0100186.05.01.11,1,2,1,1,1,1,2,2,9
0100189.01.01.01,1,1,1,2,1,1,2,2,2
0100189.02.01.01,1,1,1,2,2,2,2,2,2
0100189.03.01.02,2,2,1,2,1,1,2,1,9
0100189.05.01.01,9,2,2,2,1,1,2,1,2
0100190.02.01.01,1,2,2,2,1,1,2,1,9
0100190.03.01.03,1,1,1,2,2,2,2,1,2
0100190.04.01.01,1,1,2,2,2,1,2,1,9
0100190.05.01.01,1,2,2,2,2,1,1,1,9
0100194.01.01.03,1,1,1,1,1,1,2,1,2
0100194.02.01.02,1,2,2,1,1,2,2,1,2
0100194.03.01.02,1,2,2,1,1,1,1,1,1
0100194.04.01.03,2,1,1,1,2,1,1,1,9
0100194.05.01.01,1,2,2,2,1,2,2,1,2
0100199.01.01.03,1,1,1,2,2,2,2,2,2
0100199.04.01.06,1,1,1,1,2,2,2,2,2
0100211.02.01.02,1,2,2,2,1,2,2,1,9
0100211.05.01.01,2,1,1,2,2,2,2,1,2
0100211.05.02.01,2,1,1,2,2,2,2,1,2
0100211.05.03.01,1,1,2,1,2,2,2,1,9
0100215.02.01.02,1,2,2,1,1,2,2,1,9
0100215.03.01.02,2,2,2,1,2,1,2,1,1
0100215.04.01.02,2,2,1,1,1,2,1,1,2
0100215.05.01.01,1,2,2,2,2,1,2,2,1
0100218.02.01.02,1,1,1,2,2,2,2,2,2
0100218.03.01.01,1,1,1,2,2,2,2,2,2
0100218.04.01.01,2,2,2,2,2,2,1,2,2
0100218.05.01.01,1,2,1,2,1,2,2,1,2
0100220.01.01.01,1,1,2,2,2,2,2,2,1
0100220.02.01.03,1,1,1,2,2,1,2,1,2
0100220.03.01.01,1,2,2,1,2,1,2,2,1
0100220.04.01.01,2,2,1,2,2,1,2,1,2
0100220.05.01.01,1,1,1,2,2,2,2,1,9
0100221.01.01.01,1,1,1,2,2,1,2,1,2
0100221.02.01.02,1,2,2,1,2,1,2,2,9
0100221.03.01.01,2,1,1,1,1,1,1,1,9
0100221.04.01.01,1,2,2,1,1,1,2,1,2
0100221.05.01.03,1,1,1,2,1,2,2,1,2
0100225.01.01.03,1,1,1,1,2,1,2,2,2
0100225.02.01.02,1,1,1,1,1,2,2,1,9
0100225.03.01.01,1,1,1,1,2,1,2,1,2
0100225.04.01.01,2,2,2,1,1,1,1,1,1
0100225.05.01.02,2,2,2,1,1,1,1,1,1
0100264.01.01.01,1,1,1,1,2,1,1,1,1
0100264.01.02.01,2,1,1,2,1,1,2,1,9
0100264.01.03.01,2,1,1,2,1,2,2,1,2
0100264.02.01.01,1,1,1,2,2,1,2,2,2
0100264.03.01.02,1,1,1,2,2,2,2,2,2
0100264.04.01.01,1,1,1,1,1,2,1,1,9
0100264.05.01.04,1,1,1,1,1,1,2,2,2
0100266.02.01.01,1,1,1,2,2,2,2,2,9
0100266.04.01.04,2,2,2,2,2,1,2,1,2
0100266.05.01.01,1,1,1,2,1,2,2,1,2
0100271.01.01.03,1,2,2,1,1,2,2,1,1
0100271.02.01.01,1,1,2,1,1,1,2,2,2
0100271.03.01.03,2,2,2,1,1,1,2,1,2
0100271.04.01.02,2,2,2,2,2,1,2,1,2
0100272.01.01.02,2,2,2,2,2,2,2,1,2
0100272.02.01.03,1,1,1,2,2,1,1,1,1
0100272.03.01.01,1,1,1,2,2,2,2,2,2
0100272.04.01.01,1,1,1,2,1,1,2,2,2
0100272.05.01.01,1,2,2,2,2,1,2,2,2
0100281.01.01.01,1,2,2,2,2,1,2,2,2
0100281.02.01.02,2,2,2,2,2,2,2,2,2
0100281.03.01.04,1,2,2,2,2,2,2,2,2
0100281.04.01.02,1,1,1,2,2,2,2,2,2
0100281.05.01.01,1,2,2,1,2,1,2,1,2
0100291.01.01.03,1,1,1,2,2,2,2,1,2
0100291.02.01.03,1,1,1,2,1,1,2,2,2
0100291.03.01.03,1,1,1,1,2,2,2,2,2
0100291.04.01.02,1,1,1,2,1,1,2,2,2
0100291.05.01.01,2,2,2,2,1,1,2,1,2
0100295.03.01.01,2,2,2,2,1,2,2,1,1
0100295.04.01.01,1,2,2,2,2,2,2,2,2
0100295.05.01.03,1,2,2,1,1,1,2,1,2
0100296.01.01.03,1,1,2,2,2,1,2,1,1
0100296.02.01.03,1,2,2,2,2,2,2,2,1
0100296.04.01.02,2,1,1,1,1,1,2,1,2
0100296.05.01.03,2,1,1,1,1,1,1,1,1
0100299.02.01.04,2,2,2,2,2,1,1,1,9
0100299.03.01.02,2,1,2,2,2,1,2,1,9
0100299.04.01.01,2,2,2,1,1,1,2,1,2
0100299.05.01.02,2,2,2,1,1,1,2,1,1
0100304.01.01.02,2,2,2,1,2,1,2,1,1
0100304.05.01.01,2,2,2,2,1,2,2,1,9
0100305.02.01.01,2,2,2,1,1,1,2,1,9
0100305.03.01.01,2,2,2,2,1,2,2,1,2
0100310.01.01.01,1,1,1,2,2,2,2,2,2
0100310.02.01.02,2,2,2,1,1,2,2,1,1
0100310.03.01.02,1,1,1,2,2,1,2,2,1
0100310.04.01.05,2,1,1,2,2,2,2,1,2
0100310.05.01.01,2,2,2,1,2,1,2,1,3
0100315.01.01.02,2,2,2,1,1,2,2,1,2
0100315.02.01.01,1,2,2,2,2,2,2,2,2
0100315.03.01.01,1,2,2,2,1,2,2,2,2
0100317.01.01.01,2,1,2,2,1,2,2,1,2
0100317.02.01.02,2,2,2,2,1,2,2,1,2
0100317.04.01.03,1,1,1,1,1,2,2,1,2
0100317.05.01.01,2,1,1,2,1,1,2,1,9
0100320.03.01.01,1,1,1,1,1,2,2,2,2
0100320.04.01.02,1,1,1,1,1,1,2,2,2
0100320.05.01.03,1,2,2,1,1,2,2,1,1
0100327.01.01.02,1,1,1,2,1,2,2,2,2
0100327.02.01.01,1,1,2,2,1,1,1,1,2
0100327.03.01.03,1,1,1,2,2,2,1,1,1
0100327.05.01.01,1,2,2,2,2,2,1,2,2
0100329.01.01.01,1,2,1,2,1,1,2,1,2
0100329.02.01.02,1,1,1,2,2,1,2,2,2
0100329.04.01.02,2,2,2,2,1,1,1,1,1
0100329.05.01.01,2,2,2,1,2,1,1,1,1
0100331.01.01.04,1,2,2,2,1,2,1,1,1
0100331.02.01.02,2,2,2,2,1,2,2,2,1
0100331.03.01.01,2,1,1,2,1,1,9,1,9
0100331.04.01.03,1,1,1,2,1,2,2,1,2
0100331.05.01.01,1,1,1,2,2,2,2,2,2
0100347.01.01.01,1,1,1,2,1,1,1,1,2
0100347.03.01.01,1,2,2,2,1,2,2,1,1
0100347.05.01.03,2,2,2,1,1,2,1,1,1
0100360.01.01.02,2,2,2,2,2,2,2,1,2
0100360.02.01.02,2,2,2,2,2,2,1,1,2
0100360.03.01.01,1,1,1,2,1,2,2,1,2
0100360.04.01.01,2,2,2,2,1,2,2,1,2
0100360.05.01.03,2,2,2,2,1,2,1,1,1
0100374.01.01.03,1,1,1,1,2,2,2,1,2
0100374.02.01.01,1,1,1,2,2,2,2,1,2
0100374.04.01.02,2,1,1,1,2,2,2,1,2
0100374.05.01.03,2,2,2,1,1,2,1,1,1
0100375.01.01.02,2,2,2,1,2,2,2,1,2
0100375.02.01.01,2,2,2,2,2,2,2,1,1
0100375.04.01.03,1,1,1,2,2,2,2,1,9
0100375.05.01.01,2,1,1,2,2,2,2,1,2
0100391.01.01.01,2,2,2,1,1,2,2,1,2
0100391.02.01.03,1,1,1,1,1,1,2,2,2
0100391.03.01.05,1,1,1,2,2,2,2,2,2
0100391.04.01.01,1,1,1,2,1,2,2,1,2
0100391.05.01.01,1,1,1,2,2,2,2,2,3
0100397.01.01.03,2,2,2,1,1,1,2,1,1
0100397.02.01.01,1,1,1,1,1,1,2,1,2
0100397.03.01.02,1,1,1,2,1,2,2,1,2
0100397.04.01.01,1,2,2,2,1,2,2,2,2
0100397.05.01.01,1,1,1,2,1,2,2,1,2
0100398.01.01.01,2,2,2,2,2,2,2,2,2
0100398.02.01.02,1,1,1,2,1,2,1,2,1
0100398.03.01.01,1,1,1,2,2,2,2,2,2
0100398.04.01.04,1,1,1,2,2,2,2,2,2
0100398.05.01.01,1,1,1,1,1,2,2,2,2
0100403.01.01.01,1,1,1,2,2,1,2,2,9
0100403.02.01.02,2,2,2,2,1,1,1,1,9
